subject,lextale,working_memory,trial_id,type,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,RT15,RT16,RT17,RT18,RT19,RT20,RT21,RT22,RT23,RT24,Long_LEN,Long_VP1RT,Long_VP2RT,Short_LEN,Short_VP1RT,Short_VP2RT,VP_LEN,VP1_RT(ms),VP2_RT(ms),judgment_rt,response,is_correct,sentence,question
9,60,14.5,65,long,Anne,borrowed,books,on,the,shelf,in,the,library,and,Bob,borrowed,books,on,the,shelf,in,the,library,while,Cindy,bought,new,books,0.4583,0.4274,0.2982,0.4185,0.484,0.654,0.4522,0.3701,0.74,0.2911,0.2858,0.3331,0.2235,0.3527,0.2291,0.3791,0.2307,0.3483,0.237,0.2802,0.2666,0.2415,0.277,0.4795,35,3.8444,2.3335,,,,35,3844.4,2333.5,1.3747,N,1,Anne?borrowed books on the shelf in the library and?Bob?borrowed books on the shelf in the library while?Cindy?bought new books.,Cindy borrowed books.
10,55,12.5,12,long,Anne,borrowed,books,on,the,shelf,in,the,library,and,Bob,borrowed,books,on,the,shelf,in,the,library,while,Cindy,bought,new,books,0.4409,1.0174,0.4134,0.4526,0.378,0.4828,0.4319,0.3675,0.5066,0.5335,0.6082,0.4897,0.4474,0.4975,0.4074,0.446,0.4617,0.4416,0.4266,0.4738,0.4153,0.4951,0.4171,0.4564,35,4.0502,3.6179,,,,35,4050.2,3617.9,4.4648,N,1,Anne?borrowed books on the shelf in the library and?Bob?borrowed books on the shelf in the library while?Cindy?bought new books.,Cindy borrowed books.
10,55,12.5,13,long,Anne,cooked,pasta,in,the,kitchen,on,the,stove,and,Bob,cooked,pasta,in,the,kitchen,on,the,stove,while,Cindy,ordered,a,pizza,0.3504,0.6155,0.5538,0.4311,0.3723,0.5149,0.4488,1.1197,0.4932,0.4032,0.3277,0.4347,0.4282,0.3623,0.3945,0.4582,0.3993,0.3859,0.4367,0.4477,0.4098,0.4928,0.494,0.5849,33,4.5493,3.2998,,,,33,4549.3,3299.8,5.3471,N,0,Anne?cooked pasta in the kitchen on the stove and?Bob?cooked pasta in the kitchen on the stove while?Cindy?ordered a pizza.,Bob cooked pasta.
10,55,12.5,19,long,Anne,waved,flags,in,the,parade,at,the,square,and,Bob,waved,flags,in,the,parade,at,the,square,while,Cindy,stayed,at,home,0.3819,0.4456,0.5275,0.4379,0.4154,0.6575,0.4481,0.4232,0.6008,0.3949,0.4562,0.4677,0.3522,0.4427,0.4174,0.5676,0.4354,0.4752,0.4954,0.4647,0.4729,0.4589,0.4184,0.4596,32,3.956,3.6536,,,,32,3956,3653.6,7.6157,Y,1,Anne?waved flags in the parade at the square and?Bob?waved flags in the parade at the square while?Cindy?stayed at home.,Cindy stayed at home.
10,55,12.5,26,long,Anne,played,football,in,the,backyard,of,the,house,and,Bob,played,football,in,the,backyard,of,the,house,whereas,Cindy,studied,for,university,0.3504,0.5688,0.5505,0.4201,0.4052,0.5971,0.7553,0.4842,0.4905,0.3761,0.4599,0.4671,0.4571,0.387,0.4289,0.5586,0.392,0.4378,0.4299,0.9954,0.4516,0.5476,0.4667,0.7537,37,4.2717,3.5584,,,,37,4271.7,3558.4,5.8728,N,1,Anne?played football in the backyard of the house and?Bob?played football in the backyard of the house whereas?Cindy?studied for university.,Bob studied for university.
10,55,12.5,27,long,Anne,ordered,coffee,at,the,cafe,behind,the,office,and,Bob,ordered,coffee,at,the,cafe,behind,the,office,while,Cindy,preferred,black,tea,0.3357,0.7516,0.5324,0.4198,0.3762,0.4923,0.6548,0.4871,0.4977,0.3676,0.4588,0.5457,0.5265,0.391,0.4005,0.5215,0.5675,0.4677,0.5622,0.6565,0.7969,0.6005,0.5411,0.4665,37,4.2119,3.9826,,,,37,4211.9,3982.6,2.2059,Y,1,Anne?ordered coffee at the cafe behind the office and?Bob?ordered coffee at the cafe behind the office while?Cindy?preferred black tea.,Anne ordered coffee.
10,55,12.5,37,long,Anne,shared,information,at,the,workplace,in,the,meeting,and,Bob,shared,information,at,the,workplace,in,the,meeting,while,Cindy,finished,the,report,0.1233,0.5245,1.0045,0.3696,0.4071,0.5324,0.344,0.4694,0.4602,0.3721,0.4155,0.4532,0.4289,0.4222,0.4527,0.5061,0.4003,0.4291,0.5011,0.4293,0.4301,0.6559,0.5284,0.6847,43,4.1117,3.5936,,,,43,4111.7,3593.6,2.095,Y,1,Anne?shared information at the workplace in the meeting and?Bob?shared information at the workplace in the meeting while?Cindy?finished the report.,Cindy finished the report.
10,55,12.5,39,long,Anne,bought,clothes,in,the,store,by,the,bridge,and,Bob,bought,clothes,in,the,store,by,the,bridge,while,Cindy,waited,for,them,0.1885,0.5216,0.6251,0.4262,0.3899,0.5115,0.4275,0.4543,0.6369,0.4693,0.6057,0.4821,0.5031,0.4014,0.5039,0.4248,0.4734,0.4285,0.442,0.484,0.4785,0.6408,0.5888,0.6377,34,3.993,3.6592,,,,34,3993,3659.2,1.4432,N,1,Anne?bought clothes in the store by the bridge and?Bob?bought clothes in the store by the bridge while?Cindy?waited for them.,Bob waited for others.
10,55,12.5,40,long,Anne,trained,dogs,in,the,yard,of,the,house,and,Bob,trained,dogs,in,the,yard,of,the,house,while,Cindy,took,a,nap,0.0849,1.0035,0.5446,0.4803,0.4752,0.5568,0.4503,0.5342,0.5198,0.4167,0.4348,0.5484,0.4759,0.3977,0.4167,0.3678,0.4753,0.4148,0.4546,0.4145,0.4339,0.5278,0.43,0.5689,30,4.5647,3.5512,,,,30,4564.7,3551.2,2.3254,N,1,Anne?trained dogs in the yard of the house and?Bob?trained dogs in the yard of the house while?Cindy?took a nap.,Anne took a nap.
10,55,12.5,45,long,Anne,drank,beer,in,the,pub,around,the,corner,and,Bob,drank,beer,in,the,pub,around,the,corner,while,Cindy,ate,a,burger,0.5657,0.3964,0.4414,0.4177,0.3518,0.5041,0.4965,0.3829,0.638,0.3951,0.4455,0.4349,0.4359,0.4308,0.3673,0.5141,0.4639,0.3861,0.3919,0.4464,0.3602,0.4338,0.4577,0.5078,32,3.6288,3.4249,,,,32,3628.8,3424.9,2.5748,Y,1,Anne?drank beer in the pub around the corner and?Bob?drank beer in the pub around the corner while?Cindy?ate a burger.,Cindy ate a burger.
10,55,12.5,55,long,Anne,watched,television,on,the,sofa,in,the,room,and,Bob,watched,television,on,the,sofa,in,the,room,while,Cindy,read,the,newspaper,0.3863,0.4734,0.4333,0.4515,0.3548,0.4506,0.4033,0.395,0.4632,0.4377,0.4663,0.4954,0.7242,0.7472,0.4019,0.4304,0.5186,0.4559,0.397,0.4027,0.3877,0.3985,0.4166,0.5519,35,3.4251,4.1706,,,,35,3425.1,4170.6,1.8781,N,1,Anne?watched television on the sofa in the room and?Bob?watched television on the sofa in the room while?Cindy?read the newspaper.,Anne read the newspaper.
10,55,12.5,56,long,Anne,drove,cars,in,the,race,on,the,street,and,Bob,drove,cars,in,the,race,on,the,street,whereas,Cindy,preferred,to,watch,0.4462,0.4309,0.4387,0.4488,0.4105,0.4885,0.3321,0.363,0.5204,0.315,0.4406,0.4525,0.4195,0.3475,0.3857,0.4733,0.4009,0.368,0.4763,0.535,0.4633,0.4563,0.431,0.4403,29,3.4329,3.3237,,,,29,3432.9,3323.7,1.945,N,0,Anne?drove cars in the race on the street and?Bob?drove cars in the race on the street whereas?Cindy?preferred to watch.,Anne drove cars.
10,55,12.5,59,long,Anne,ate,fish,in,the,restaurant,on,the,pier,and,Bob,ate,fish,in,the,restaurant,on,the,pier,whereas,Cindy,drank,a,Coke,0.4423,0.5119,0.5394,0.4092,0.3643,0.5987,0.3994,0.4296,0.6494,0.4343,0.4584,0.3827,0.416,1.1021,0.359,0.5162,0.4422,0.3458,0.4876,0.4523,0.3701,0.4942,0.4902,0.4455,31,3.9019,4.0516,,,,31,3901.9,4051.6,1.6699,N,1,Anne?ate fish in the restaurant on the pier and?Bob?ate fish in the restaurant on the pier whereas?Cindy?drank a Coke.,Anne drank a Coke.
10,55,12.5,61,long,Anne,booked,tickets,on,the,phone,ahead,of,time,and,Bob,booked,tickets,on,the,phone,ahead,of,time,whereas,Cindy,had,no,money,0.3823,0.4919,0.5987,0.3869,0.5201,0.626,0.5127,0.6411,0.4248,0.3792,0.4508,0.4466,0.4927,0.3169,0.4321,0.3846,0.3896,0.3633,0.4216,0.5035,0.3879,0.4709,0.4181,0.4693,34,4.2022,3.2474,,,,34,4202.2,3247.4,3.5564,Y,1,Anne?booked tickets on the phone ahead of time and?Bob?booked tickets on the phone ahead of time whereas?Cindy?had no money.,Anne booked tickets.
10,55,12.5,64,long,Anne,attended,school,in,the,county,down,the,road,and,Bob,attended,school,in,the,county,down,the,road,while,Cindy,stayed,in,daycare,0.3932,0.7217,0.5269,0.4686,0.4355,0.4978,0.5485,0.3847,0.4291,0.4008,0.4848,0.4487,0.3612,0.4243,0.3654,0.4173,0.4238,0.3666,0.3792,0.4007,0.3765,0.4467,0.458,1.2524,36,4.0128,3.1865,,,,36,4012.8,3186.5,5.217,N,1,Anne?attended school in the county down the road and?Bob?attended school in the county down the road while?Cindy?stayed in daycare.,Cindy attended school.
10,55,12.5,67,long,Anne,rode,horses,at,the,ranch,in,the,morning,and,Bob,rode,horses,at,the,ranch,in,the,morning,while,Cindy,stayed,at,home,0.3655,0.4484,0.6171,0.5262,0.406,0.6171,0.4322,0.3591,0.5336,0.4031,0.854,0.3385,0.4379,0.3726,0.4167,0.8186,0.4798,0.2985,0.3449,0.399,0.464,0.6233,0.5625,0.3319,32,3.9397,3.5075,,,,32,3939.7,3507.5,2.2832,Y,1,Anne?rode horses at the ranch in the morning and?Bob?rode horses at the ranch in the morning while?Cindy?stayed at home.,Cindy stayed at home.
